Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL
"Adam Bachata Festival 2026","5 Nov","9 Nov","Amsterdam, Netherlands","https://placetodance.com/festivals/calendar/6925cb9606f86dbdbfab2436","https://www.facebook.com/events/1564388308322653/","adam_bachata_festival_2026_1.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0511AMS11%3Fdestination_airports%3D0&campaign_id=100"
"Kizz Ryders ONE Sofia Edition 2026","6 Nov","9 Nov","Sofia, Bulgaria","https://placetodance.com/festivals/calendar/68f680a0cfd1f800ad2ef4cc","https://www.facebook.com/events/1194642955309259","kizz_ryders_one_sofia_edition_2026_4.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0611SOF11%3Fdestination_airports%3D0&campaign_id=100"
"Kizomba & Semba Champions Festival 2026 - save the date","13 Nov","16 Nov","Warsaw, Poland","https://placetodance.com/festivals/calendar/6913a421caf0f6bef34db76c","https://www.facebook.com/events/705498828523259/","kizomba___semba_champions_festival_2026___save_the_date_7.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1311WAW11%3Fdestination_airports%3D0&campaign_id=100"
"HOT ICE KIZ Festival 2026 11th edition","26 Nov","1 Dec","Riga, Latvia","https://placetodance.com/festivals/calendar/6925f58b06f86dbdbfab26a4","https://www.facebook.com/events/854072490821364/","hot_ice_kiz_festival_2026_11th_edition_10.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2611RIX11%3Fdestination_airports%3D0&campaign_id=100"
