Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL
"Latino Fit Festival 7 – Poitiers 2026","6 Jun","8 Jun","Poitiers, France","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b55","https://www.facebook.com/events/4119815708305487/","latino_fit_festival_7___poitiers_2026_6.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0606PIS11%3Fdestination_airports%3D0&campaign_id=100"
"Pure Bachata Beach Festival 2026 - Roses (near Barcelona)","14 Jun","21 Jun","Barcelona, Spain","https://placetodance.com/festivals/calendar/6925f18506f86dbdbfab2622","https://www.facebook.com/events/693634603811449/","pure_bachata_beach_festival_2026___roses__near_barcelona__13.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1406BCN11%3Fdestination_airports%3D0&campaign_id=100"
"Kizz Ryders Festival Krakow 2026","19 Jun","22 Jun","Kraków, Poland","https://placetodance.com/festivals/calendar/68f68d5fcfd1f800ad2ef53b","https://www.facebook.com/events/1968193480588092","kizz_ryders_festival_krakow_2026_17.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1906KRK11%3Fdestination_airports%3D0&campaign_id=100"
"Fusionkizz Festival Vol3 2026","19 Jun","22 Jun","Aarhus, Denmark","https://placetodance.com/festivals/calendar/6884c1558dbff31b5901557e","https://www.facebook.com/events/1062512652015416","fusionkizz_festival_vol3_2026_18.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1906AAR11%3Fdestination_airports%3D0&campaign_id=100"
"SANTA SUSANNA BARCELONA SALSA, BACHATA with a splash of Kizomba","24 Jun","27 Jun","Barcelona, Spain","https://placetodance.com/festivals/calendar/6925cb9a06f86dbdbfab24cc","https://www.facebook.com/events/702204192717354/","santa_susanna_barcelona_salsa__bachata_with_a_splash_of_kizomba_22.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2406BCN11%3Fdestination_airports%3D0&campaign_id=100"
"MADRID SUMMER FESTIVAL 2026 (Evento Oficial)","26 Jun","28 Jun","Madrid, Spain","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bae8","https://www.facebook.com/events/1177187964179602/","madrid_summer_festival_2026__evento_oficial__26.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2606MAD11%3Fdestination_airports%3D0&campaign_id=100"
"Annecy Bachata Lake Festival 5ème édition et 10 ans d'Annecy Bachata (official event)","26 Jun","29 Jun","Annecy, France","https://placetodance.com/festivals/calendar/68fd1218e9c5d223fe32c882","https://www.facebook.com/events/1071242251793603/","annecy_bachata_lake_festival_5_me__dition_et_10_ans_d_annecy_bachata__official_event__27.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2606NCY11%3Fdestination_airports%3D0&campaign_id=100"
"MWANGOLÉ Festival Paris 2026 - Gala Edition (Official event)","26 Jun","29 Jun","Paris, France","https://placetodance.com/festivals/calendar/68e7bb216eb94a22fac26840","https://www.facebook.com/events/718213974162645/","mwangol__festival_paris_2026___gala_edition__official_event__28.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2606ORY11%3Fdestination_airports%3D0&campaign_id=100"
