Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Mois,IATA_Manuel
"MKCF Moscow Kizomba Competition Festival 2026","29 Jan","2 Feb","Moscow, Russia","N/A","Non trouvé","January",""
"Barcelona Temptation Festival ( Princes & Princesses Edition )","28 May","2 Jun","Lloret De Mar, Spain","N/A","Non trouvé","June",""
"Loves Kizomba Summer Fest 2026","1 Jul","7 Jul","Benacazón, Spain","N/A","Non trouvé","July",""
"Festival Tempo Latino","30 Jul","2 Aug","Vic-Fezensac, France","N/A","Non trouvé","August",""
"Prishtina Dance Festival","4 Sep","7 Sep","Prishtina, Kosovo","N/A","Non trouvé","September",""
"SBK MALLORCA 2026 With Eagle Salsa Tours","28 Sep","4 Oct","Paguera, United Kingdom","N/A","Non trouvé","October",""
