airport;city;country;iata;ICAO ;lat;long;altitude;country_code
Talakan Airport;talakan;Russia;TLK;;59.876389;111.044444;1329;RU
Donskoye Airport;tambow;Russia;TBW;;52.806098937988;41.482799530029;413;RU
Tarko-Sale Airport;tarko sale;Russia;TQL;;64.9308013916;77.81809997559999;82;RU
Tiksi Airport;tiksi;Russia;IKS;;71.697700500488;128.90299987793;26;RU
Bogashevo Airport;tomsk;Russia;TOF;;56.380298614502;85.208297729492;597;RU
Turukhansk Airport;turukhansk;Russia;THX;;65.797203064;87.9353027344;128;RU
Roshchino International Airport;tyumen;Russia;TJM;;57.189601898199996;65.3243026733;378;RU
Ufa International Airport;ufa;Russia;UFA;;54.557498931885;55.874401092529;449;RU
Ukhta Airport;ukhta;Russia;UCT;;63.566898345947266;53.8046989440918;482;RU
Ulan-Ude Airport (Mukhino);ulan ude;Russia;UUD;;51.80780029296875;107.43800354003906;1690;RU
Ulyanovsk Baratayevka Airport;ulyanovsk;Russia;ULY;;54.26829910279999;48.226699829100006;463;RU
Uray Airport;uraj;Russia;URJ;;60.10329818725586;64.82669830322266;190;RU
Usinsk Airport;usinsk;Russia;USK;;66.00469970703125;57.3671989440918;262;RU
Ust-Kut Airport;ust kut;Russia;UKX;;56.8567008972168;105.7300033569336;2188;RU
Ust-Kuyga Airport;ust kuyga;Russia;UKG;;70.011001586914;135.64500427246;315;RU
Ust-Maya Airport;ust maya;Russia;UMS;;60.356998443604;134.43499755859;561;RU
Ust-Nera Airport;ust nera;Russia;USR;;64.550003051758;143.11500549316;1805;RU
Ust-Tsylma Airport;ust tsylma;Russia;UTS;;65.43729400630001;52.20033645629999;262;RU
Velikiy Ustyug Airport;veliky ustyug;Russia;VUS;;60.788299560546875;46.2599983215332;331;RU
Verkhnevilyuisk Airport;verkhnevilyuysk;Russia;VHV;;63.458057403564;120.26916503906;411;RU
Vilyuisk Airport;vilyuisk;Russia;VYI;;63.75666809082;121.69333648682;361;RU
Vladivostok International Airport;vladivostok;Russia;VVO;;43.39899826049805;132.1479949951172;46;RU
Volgodonsk Airport;volgodonsk;Russia;NLI;;47.682098388671875;42.07279968261719;276;RU
Volgograd International Airport;volgograd;Russia;VOG;;48.782501220703125;44.34550094604492;482;RU
Vologda Airport;vologda;Russia;VGD;;59.282501220703125;39.944400787353516;387;RU
Vorkuta Airport;vorkuta;Russia;VKT;;67.48860168457031;63.993099212646484;604;RU
Voronezh International Airport;voronezh;Russia;VOZ;;51.81420135498047;39.22959899902344;514;RU
Polyarny Airport;yakutia;Russia;SEK;;66.4003982544;112.029998779;1660;RU
Magan Airport;yakutsk;Russia;YKS;;62.103484;129.545288;577;RU
Tunoshna Airport;yaroslavl;Russia;IAR;;57.560699462890625;40.15739822387695;287;RU
Koltsovo Airport;yekaterinburg;Russia;SVX;;56.743099212646;60.802700042725;764;RU
Yerbogachen Airport;yerbogachen;Russia;ERG;;61.2750015259;108.029998779;400;RU
Yoshkar-Ola Airport;yoshkar ola;Russia;JOK;;56.700599670410156;47.904701232910156;348;RU
Mendeleyevo Airport;yuzhno kurilsk;Russia;DEE;;43.9584007263;145.682998657;584;RU
Yuzhno-Sakhalinsk Airport;yuzhno sakhalinsk;Russia;UUS;;46.88869857788086;142.71800231933594;59;RU
Zhigansk Airport;zhigansk;Russia;ZIX;;66.7965011597;123.361000061;292;RU
Belgrade Nikola Tesla Airport;belgrade;Serbia;BEG;;44.8184013367;20.3090991974;335;RS
Nis Airport;nis;Serbia;INI;;43.337299;21.853701;648;RS
M. R. Štefánik Airport;bratislava;Slovakia;BTS;;48.17020034790039;17.21269989013672;436;SK
Košice Airport;kosice;Slovakia;KSC;;48.66310119628906;21.241100311279297;755;SK
Poprad-Tatry Airport;poprad;Slovakia;TAT;;49.073600769;20.2411003113;2356;SK
Ljubljana Jože Pučnik Airport;ljubljana;Slovenia;LJU;;46.223701;14.4576;1273;SI
Maribor Airport;maribor;Slovenia;MBX;;46.47990036010742;15.686100006103516;876;SI
Portoroz Airport;portoroz;Slovenia;POW;;45.4734001159668;13.614999771118164;7;SI
Alicante International Airport;alicante;Spain;ALC;;38.28219985961914;'-0.5581560134887695;142;ES
Almería International Airport;almeria;Spain;LEI;;36.84389877319336;'-2.3701000213623047;70;ES
Lanzarote Airport;arrecife;Spain;ACE;;28.945499;'-13.6052;46;ES
Badajoz Airport;badajoz;Spain;BJZ;;38.891300201416016;'-6.8213300704956055;609;ES
Barcelona International Airport;barcelona;Spain;BCN;;41.2971;2.07846;12;ES
Bilbao Airport;bilbao;Spain;BIO;;43.30110168457031;'-2.9106099605560303;138;ES
Burgos Airport;burgos;Spain;RGS;;42.357601;'-3.62076;2945;ES
Castellón-Costa Azahar Airport;castellon de la plana;Spain;CDT;;40.213889;0.073333;1145;ES
Ioannis Kapodistrias International Airport;corfu;Spain;CFU;;39.601898193359375;19.911699295043945;6;ES
Fuerteventura Airport;fuerteventura;Spain;FUE;;28.452699661254883;'-13.863800048828125;85;ES
Gran Canaria Airport;gran canaria;Spain;LPA;;27.931900024414062;'-15.38659954071045;78;ES
Federico Garcia Lorca Airport;granada;Spain;GRX;;37.18870162963867;'-3.777359962463379;1860;ES
Hierro Airport;hierro;Spain;VDE;;27.814800262451172;'-17.887100219726562;103;ES
Ibiza Airport;ibiza;Spain;IBZ;;38.872898101800004;1.3731199502899998;24;ES
Jerez Airport;jerez;Spain;XRY;;36.744598388671875;'-6.060110092163086;93;ES
A Coruña Airport;la coruna;Spain;LCG;;43.302101;'-8.37726;326;ES
La Gomera Airport;la gomera;Spain;GMZ;;28.029600143432617;'-17.214599609375;716;ES
Lleida-Alguaire Airport;lleida;Spain;ILD;;41.728185;0.535023;1170;ES
Logroño-Agoncillo Airport;logrono agoncillo;Spain;RJL;;42.4609534888;'-2.32223510742;1161;ES
Cuatro Vientos Airport;madrid;Spain;MAD;;40.370701;'-3.78514;2269;ES
Málaga Airport;malaga;Spain;AGP;;36.67490005493164;'-4.499110221862793;53;ES
Melilla Airport;melilla;Spain;MLN;;35.279800415;'-2.9562599659;156;ES
Menorca Airport;menorca;Spain;MAH;;39.86259841918945;4.218649864196777;302;ES
Región de Murcia International Airport;murcia;Spain;RMU;;37.803;'-1.125;632;ES
Palma De Mallorca Airport;palma de mallorca;Spain;PMI;;39.551700592;2.73881006241;27;ES
Pamplona Airport;pamplona;Spain;PNA;;42.77000045776367;'-1.6463299989700317;1504;ES
Bornholm Airport;ronne;Spain;RNN;;55.06330108642578;14.759599685668945;52;ES
Salamanca Airport;salamanca;Spain;SLM;;40.95209884643555;'-5.501989841461182;2595;ES
San Sebastian Airport;san sebastian;Spain;EAS;;43.35649871826172;'-1.7906099557876587;16;ES
La Palma Airport;santa cruz de la palma;Spain;SPC;;28.626499;'-17.7556;107;ES
Santander Airport;santander;Spain;SDR;;43.427101135253906;'-3.82000994682312;16;ES
Pirineus - la Seu d'Urgel Airport;seo de urgel;Spain;LEU;;42.3386;1.40917;2625;ES
Seville Airport;sevilla;Spain;SVQ;;37.417999267578125;'-5.8931097984313965;112;ES
Spain Airport;spain;Spain;VLC;;39.4893;'-0.481625;240;ES
Tenerife Norte Airport;tenerife;Spain;TCI;;28.4827003479;'-16.3414993286;2076;ES
Valladolid Airport;valladolid;Spain;VLL;;41.7061004639;'-4.85194015503;2776;ES
Vigo Airport;vigo;Spain;VGO;;42.2318000793457;'-8.62677001953125;856;ES
Ängelholm-Helsingborg Airport;angelholm;Sweden;AGH;;56.29610061645508;12.847100257873535;68;SE
Arvidsjaur Airport;arvidsjaur;Sweden;AJR;;65.59030151367188;19.28190040588379;1245;SE
Borlange Airport;borlange;Sweden;BLE;;60.422000885009766;15.515199661254883;503;SE
Gällivare Airport;gallivare;Sweden;GEV;;67.13240051269531;20.814599990844727;1027;SE
Gävle Sandviken Airport;gavle;Sweden;SOO;;60.593299865722656;16.951400756835938;224;SE
Gothenburg City Airport;gothenburg;Sweden;GOT;;57.7747;11.8704;59;SE
Hagfors Airport;hagfors;Sweden;HFS;;60.02009963989258;13.578900337219238;474;SE
Halmstad Airport;halmstad;Sweden;HAD;;56.69110107421875;12.820199966430664;101;SE
Hemavan Airport;hemavan;Sweden;HMV;;65.80609893798828;15.082799911499023;1503;SE
Hudiksvall Airport;hudiksvall;Sweden;HUV;;61.7681007385;17.0806999207;95;SE
Jönköping Airport;jonkoping;Sweden;JKG;;57.757598876953125;14.068699836730957;741;SE
Kalmar Airport;kalmar;Sweden;KLR;;56.68550109863281;16.287599563598633;17;SE
Kalmar Airport;kalmar;Sweden;KLR;ESMK;56.6786;16.2575;;SE
Karlstad Airport;karlstad;Sweden;KSD;;59.444698333699996;13.337400436400001;352;SE
Kiruna Airport;kiruna;Sweden;KRN;;67.821998596191;20.336799621582;1508;SE
Kramfors Sollefteå Airport;kramfors;Sweden;KRF;;63.04859924316406;17.76889991760254;34;SE
Kristianstad Airport;kristianstad;Sweden;KID;;55.92169952392578;14.08549976348877;76;SE
Lidköping-Hovby Airport;lidkoping;Sweden;LPI;;58.4655;13.1744;200;SE
Luleå Airport;lulea;Sweden;LLA;;65.543800354004;22.121999740601;65;SE
Lycksele Airport;lycksele;Sweden;LYC;;64.54830169677734;18.71619987487793;705;SE
Malmö Sturup Airport;malmo;Sweden;MMA;;55.536305364;13.376197814900001;236;SE
Mora Airport;mora;Sweden;MXX;;60.957901;14.5114;634;SE
Norrköping Airport;norrkoping;Sweden;NRK;;58.586299896240234;16.250600814819336;32;SE
Örebro Airport;orebro;Sweden;ORB;;59.22370147705078;15.038000106811523;188;SE
Örnsköldsvik Airport;ornskoldsvik;Sweden;OER;;63.40829849243164;18.989999771118164;354;SE
Åre Östersund Airport;ostersund;Sweden;OSD;;63.194400787354;14.50030040741;1233;SE
Ronneby Airport;ronneby;Sweden;RNB;;56.266700744629;15.265000343323;191;SE
Skellefteå Airport;skelleftea;Sweden;SFT;;64.62480163574219;21.076900482177734;157;SE
Stockholm-Bromma Airport;stockholm;Sweden;STO;;59.354400634765625;17.941699981689453;47;SE
Sundsvall-Härnösand Airport;sundsvall;Sweden;SDL;;62.528099060058594;17.443899154663086;16;SE
Sveg Airport;sveg;Sweden;EVG;;62.04779815673828;14.422900199890137;1178;SE
Torsby Airport;torsby;Sweden;TYF;;60.1576004028;12.991299629199998;393;SE
Trollhättan-Vänersborg Airport;trollhattan;Sweden;THN;;58.31809997558594;12.345000267028809;137;SE
Umeå Airport;umea;Sweden;UME;;63.791801452637;20.282800674438;24;SE
Stockholm Västerås Airport;vasteras;Sweden;VST;;59.58940124511719;16.63360023498535;21;SE
Växjö Kronoberg Airport;vaxjo;Sweden;VXO;;56.929100036621094;14.727999687194824;610;SE
Vilhelmina Airport;vilhelmina;Sweden;VHM;;64.5791015625;16.833599090576172;1140;SE
Visby Airport;visby;Sweden;VBY;;57.662799835205;18.346200942993;164;SE
St Gallen Altenrhein Airport;altenrhein;Switzerland;ACH;;47.4850006104;9.560770034789998;1306;CH
Bern Belp Airport;bern;Switzerland;BRN;;46.914100647;7.497149944309999;1674;CH
Geneva Cointrin International Airport;geneva;Switzerland;GVA;;46.23809814453125;6.108950138092041;1411;CH
Lugano Airport;lugano;Switzerland;LUG;;46.00429916379999;8.9105796814;915;CH
Samedan Airport;samedan;Switzerland;SMV;;46.53409957885742;9.884110450744629;5600;CH
Zürich Airport;zurich;Switzerland;ZRH;;47.464699;8.54917;1416;CH
Turin Airport;torino;Torino;TRN;;45.200802;7.64963;989;IT
Adıyaman Airport;adiyaman;Turkey;ADF;;37.7313995361;38.4688987732;2216;TR
Gazipaşa Airport;alanya;Turkey;GZP;;36.299217;32.300598;86;TR
Esenboğa International Airport;ankara;Turkey;ANK;;40.128101348899996;32.995098114;3125;TR
Antalya International Airport;antalya;Turkey;AYT;;36.898701;30.800501;177;TR
Balıkesir Merkez Airport;balikesir;Turkey;EDO;;;;;TR
Batman Airport;batman;Turkey;BAL;;37.929000854499996;41.1166000366;1822;TR
Bingöl Çeltiksuyu Airport;bingol;Turkey;BGG;;38.8592605591;40.5959625244;3506;TR
Milas Bodrum International Airport;bodrum;Turkey;BJV;;37.25059890749999;27.6643009186;21;TR
Çanakkale Airport;canakkale;Turkey;CKZ;;40.1376991272;26.4267997742;23;TR
Şırnak Şerafettin Elçi Airport;cizre;Turkey;NKT;;37.3647;42.0582;2038;TR
Tekirdağ Çorlu Airport;corlu;Turkey;TEQ;;41.13819885253906;27.919099807739258;574;TR
Dalaman International Airport;dalaman;Turkey;DLM;;36.7131004333;28.7924995422;20;TR
Çardak Airport;denizli;Turkey;DNZ;;37.7855987549;29.7012996674;2795;TR
Diyarbakir Airport;diyabakir;Turkey;DIY;;37.893901825;40.201000213600004;2251;TR
Elazığ Airport;elazig;Turkey;EZS;;38.6068992615;39.2914009094;2927;TR
Erzurum International Airport;erzurum;Turkey;ERZ;;39.9565010071;41.17020034789999;5763;TR
Anadolu Airport;eskissehir;Turkey;AOE;;39.809898;30.5194;2588;TR
Gaziantep International Airport;gaziantep;Turkey;GZT;;36.9472007751;37.4786987305;2315;TR
Hakkari Yüksekova Airport;hakkari;Turkey;YKO;;37.5497;44.2381;6400;TR
Iğdır Airport;igdir;Turkey;IGD;;39.9766273499;43.8766479492;3101;TR
Süleyman Demirel International Airport;isparta;Turkey;ISE;;37.8554000854;30.368400573699997;2835;TR
Istanbul Airport;istanbul;Turkey;IST;;41.275278;28.751944;325;TR
Çiğli Airport;izmir;Turkey;IZM;;38.513000488299994;27.010099411;16;TR
Kahramanmaraş Airport;kahramanmaras;Turkey;KCM;;37.5388259888;36.9535217285;1723;TR
Kars Airport;kars;Turkey;KSY;;40.562198638916016;43.1150016784668;5889;TR
Kastamonu Airport;kastamonu;Turkey;KFS;;41.31420135498047;33.795799255371094;3520;TR
Kayseri Erkilet Airport;kayseri;Turkey;ASR;;38.770401001;35.4953994751;3463;TR
Konya Airport;konya;Turkey;KYA;;37.979;32.561901;3392;TR
Zafer Airport;kutahya;Turkey;KZR;;39.113079;30.128111;3327;TR
Malatya Erhaç Airport;malatya;Turkey;MLX;;38.435298919699996;38.0909996033;2828;TR
Mardin Airport;mardin;Turkey;MQM;;37.223300933800004;40.6316986084;1729;TR
Amasya Merzifon Airport;merzifon;Turkey;MZH;;40.829399;35.521999;1758;TR
Muş Airport;mus;Turkey;MSR;;38.747798919677734;41.66120147705078;4157;TR
Nevşehir Kapadokya Airport;nevsehir;Turkey;NAV;;38.7719;34.5345;3100;TR
Samsun Çarşamba Airport;samsun;Turkey;SZF;;41.254501;36.567101;18;TR
Sivas Nuri Demirağ Airport;sivas;Turkey;VAS;;39.813801;36.9035;5239;TR
Tokat Airport;tokat;Turkey;TJK;;40.307430267333984;36.367408752441406;1831;TR
Trabzon International Airport;trabzon;Turkey;TZX;;40.99509811401367;39.78969955444336;104;TR
Uşak Airport;usak;Turkey;USQ;;38.68149948120117;29.47170066833496;2897;TR
Van Ferit Melen Airport;van;Turkey;VAN;;38.46820068359375;43.332298278808594;5480;TR
Bursa Yenişehir Airport;yenisehir;Turkey;YEI;;40.2551994324;29.5625991821;764;TR
Zonguldak Airport;zonguldak;Turkey;ONQ;;41.506401062;32.0886001587;39;TR
Chernivtsi International Airport;chernovtsk;Ukraine;CWC;;48.259300231933594;25.98080062866211;826;UA
Dnipropetrovsk International Airport;dnepropetrovsk;Ukraine;DNK;;48.357200622558594;35.10060119628906;481;UA
Ivano-Frankivsk International Airport;ivano frankivsk;Ukraine;IFO;;48.88420104980469;24.686100006103516;919;UA
Kharkiv International Airport;kharkov;Ukraine;HRK;;49.924800872802734;36.290000915527344;508;UA
Kherson International Airport;kherson;Ukraine;KHE;;46.6758;32.506401;148;UA
Gostomel Airport;kiev;Ukraine;IEV;;50.60350036621094;30.1919002532959;517;UA
Lviv International Airport;lvov;Ukraine;LWO;;49.8125;23.956100463867188;1071;UA
Odessa International Airport;odessa;Ukraine;ODS;;46.42679977416992;30.67650032043457;172;UA
Uzhhorod International Airport;uzhgorod;Ukraine;UDJ;;48.634300231933594;22.263399124145508;383;UA
Vinnytsia/Gavyryshivka Airport;vinnitsa;Ukraine;VIN;;49.242531;28.613778;961;UA
Zaporizhzhia International Airport;zaporozhye;Ukraine;OZH;;47.867000579833984;35.31570053100586;373;UA
Durham Tees Valley Airport;teesside;United Kindom;MME;;54.50920104980469;'-1.4294099807739258;120;GB
Anglesey Airport;angelsey;United Kingdom;VLY;;53.2481002808;'-4.53533983231;37;GB
Benbecula Airport;benbecula;United Kingdom;BEB;;57.48109817504883;'-7.3627800941467285;19;GB
Blackpool International Airport;blackpool;United Kingdom;BLK;;53.77170181274414;'-3.0286099910736084;34;GB
Bournemouth Airport;bournemouth;United Kingdom;BOH;;50.779998779296875;'-1.8424999713897705;38;GB
Bristol Filton Airport;bristol;United Kingdom;BRS;;51.5194015503;'-2.59083008766;226;GB
RAF Brize Norton;brize norton;United Kingdom;BZZ;;51.75;'-1.58362;288;GB
Cambridge Airport;cambridge;United Kingdom;CBG;;52.205002;0.175;47;GB
Campbeltown Airport;campbeltown;United Kingdom;CAL;;55.437198638916016;'-5.686389923095703;42;GB
Cardiff International Airport;cardiff;United Kingdom;CWL;;51.39670181274414;'-3.343329906463623;220;GB
Carlisle Airport;carlisle;United Kingdom;CAX;;54.9375;'-2.8091700077056885;190;GB
Coventry Airport;coventry;United Kingdom;CVT;;52.3697013855;'-1.4797199964499999;267;GB
Robin Hood Doncaster Sheffield Airport;doncaste;United Kingdom;DSA;;53.4805378105;'-1.01065635681;55;GB
Dundee Airport;dundee;United Kingdom;DND;;56.45249938964844;'-3.025830030441284;17;GB
East Midlands Airport;east midlands;United Kingdom;EMA;;52.8311004639;'-1.32806003094;306;GB
Eday Airport;eday;United Kingdom;EOI;;59.19060134887695;'-2.7722198963165283;10;GB
Edinburgh Airport;edinburgh;United Kingdom;EDI;EGPH;55.95;'-3.3725;47;GB
Exeter International Airport;exeter;United Kingdom;EXT;;50.73440170288086;'-3.4138898849487305;102;GB
Fair Isle Airport;fair isle;United Kingdom;FIE;;59.53580093383789;'-1.628059983253479;223;GB
Glasgow International Airport;glasgow;United Kingdom;GLA;;55.8718986511;'-4.43306016922;26;GB
Humberside Airport;humberside;United Kingdom;HUY;;53.57440185546875;'-0.350832998752594;121;GB
Inverness Airport;inverness;United Kingdom;INV;;57.54249954223633;'-4.047500133514404;31;GB
Islay Airport;islay;United Kingdom;ILY;;55.68190002441406;'-6.256669998168945;56;GB
Kirkwall Airport;kirkwall;United Kingdom;KOI;;58.957801818847656;'-2.9049999713897705;50;GB
Leeds Bradford Airport;leeds;United Kingdom;LBA;;53.86589813232422;'-1.6605700254440308;681;GB
Lerwick / Tingwall Airport;lerwick;United Kingdom;SDZ;;60.192199707;'-1.24361002445;43;GB
Liverpool John Lennon Airport;liverpool;United Kingdom;LPL;;53.33359909057617;'-2.849720001220703;80;GB
London Stansted Airport;london;United Kingdom;LON;;51.8849983215;0.234999999404;348;GB
Newcastle Airport;newcastle;United Kingdom;NCL;;55.037498474121094;'-1.6916699409484863;266;GB
Newquay Cornwall Airport;newquai;United Kingdom;NQY;;50.44060134887695;'-4.995409965515137;390;GB
North Ronaldsay Airport;north ronaldsay;United Kingdom;NRL;;59.3675003052;'-2.43443989754;40;GB
Norwich International Airport;norwich;United Kingdom;NWI;;52.6758003235;1.28278005123;117;GB
Oxford (Kidlington) Airport;oxford;United Kingdom;OXF;;51.8368988037;'-1.32000005245;270;GB
Papa Westray Airport;papa westray;United Kingdom;PPW;;59.351699829100006;'-2.9002799987800003;91;GB
Plymouth City Airport;plymouth;United Kingdom;PLH;;50.422798;'-4.10583;476;GB
Glasgow Prestwick Airport;prestwick;United Kingdom;PIK;;55.5093994140625;'-4.586669921875;65;GB
Sanday Airport;sanday;United Kingdom;NDY;;59.250301361083984;'-2.576669931411743;68;GB
Belbek Airport;sevastopol;United Kingdom;UKS;;44.688999176;33.570999145500004;344;GB
Simferopol International Airport;simferopol;United Kingdom;SIP;;45.05220031738281;33.975101470947266;639;GB
Southampton Airport;southampton;United Kingdom;SOU;;50.95029830932617;'-1.3567999601364136;44;GB
Southend Airport;southend;United Kingdom;SEN;;51.5713996887207;0.6955559849739075;49;GB
St. Mary's Airport;st mary 's;United Kingdom;ISC;;49.913299560546875;'-6.291669845581055;116;GB
Stornoway Airport;stornoway;United Kingdom;SYY;;58.215599060058594;'-6.331110000610352;26;GB
Stronsay Airport;stronsay;United Kingdom;SOY;;59.1553001404;'-2.64139008522;39;GB
Sumburgh Airport;sumburgh;United Kingdom;LSI;;59.87889862060547;'-1.2955600023269653;20;GB
Swansea Airport;swansea;United Kingdom;SWS;;51.60530090332031;'-4.0678300857543945;299;GB
Tiree Airport;tiree;United Kingdom;TRE;;56.49919891357422;'-6.869170188903809;38;GB
Westray Airport;westray;United Kingdom;WRY;;59.3502998352;'-2.95000004768;29;GB
Wick Airport;wick;United Kingdom;WIC;;58.458900451660156;'-3.09306001663208;126;GB
Manchester Airport;manchester;United Kingdom;MAN;;53.35369873046875;-2.2749998569488525;180;GB
Birmingham Airport;birmingham;United Kingdom;BHX;;52.453800201416016;-1.7480000257492065;308;GB
Valencia Airport;valencia;Spain;VLC;LEVC;39.489300;-0.481625;240;ES
Porto Francisco Sá Carneiro Airport;porto;Portugal;OPO;LPPR;41.248100;-8.681390;228;PT
Lisbon Humberto Delgado Airport;lisbon;Portugal;LIS;LPPT;38.781300;-9.135920;374;PT
Athens Eleftherios Venizelos International Airport;athens;Greece;ATH;LGAV;37.936400;23.944500;308;GR
Porto Santo Airport;porto santo;Portugal;PXO;LPPS;33.073400;-16.350000;341;PT
Funchal Cristiano Ronaldo Airport;funchal;Portugal;FNC;LPMA;32.697900;-16.774500;192;PT
Thessaloniki Macedonia International Airport;thessaloniki;Greece;SKG;LGTS;40.519700;22.970900;22;GR
Heraklion International Airport;heraklion;Greece;HER;LGIR;35.339700;25.180300;115;GR
Rhodes International Airport;rhodes;Greece;RHO;LGRP;36.405400;28.086200;17;GR
Corfu Ioannis Kapodistrias Airport;corfu;Greece;CFU;LGKR;39.601900;19.911700;6;GR
Warsaw Chopin Airport;warsaw;Poland;WAW;EPWA;52.165700;20.967100;362;PL
Berlin Brandenburg Airport;berlin;Germany;BER;EDDB;52.362200;13.500700;157;DE
Copenhagen Kastrup Airport;copenhagen;Denmark;CPH;EKCH;55.618000;12.656000;17;DK
Oslo Gardermoen Airport;oslo;Norway;OSL;ENGM;60.193900;11.100400;681;NO
Stockholm Arlanda Airport;stockholm;Sweden;ARN;ESSA;59.651900;17.918600;137;SE
Helsinki-Vantaa Airport;helsinki;Finland;HEL;EFHK;60.317200;24.963300;179;FI
Dublin Airport;dublin;Ireland;DUB;EIDW;53.421300;-6.270070;242;IE
Manchester Airport;manchester;United Kingdom;MAN;EGCC;53.353700;-2.275000;257;GB
Birmingham Airport;birmingham;United Kingdom;BHX;EGBB;52.453900;-1.748000;328;GB
Edinburgh Airport;edinburgh;United Kingdom;EDI;EGPH;55.950000;-3.372500;135;GB
London Heathrow Airport;london;United Kingdom;LHR;EGLL;51.470600;-0.461941;83;GB
London Gatwick Airport;london;United Kingdom;LGW;EGKK;51.148100;-0.190278;202;GB
London Luton Airport;london;United Kingdom;LTN;EGGW;51.874700;-0.368333;526;GB
London City Airport;london;United Kingdom;LCY;EGLC;51.505300;0.055278;19;GB
Paris Charles de Gaulle Airport;paris;France;CDG;LFPG;49.012800;2.549990;392;FR
Paris Orly Airport;paris;France;ORY;LFPO;48.725300;2.359440;291;FR
Amsterdam Schiphol Airport;amsterdam;Netherlands;AMS;EHAM;52.308600;4.763890;-11;NL
Brussels Airport;brussels;Belgium;BRU;EBBR;50.901400;4.484440;184;BE
Zurich Airport;zurich;Switzerland;ZRH;LSZH;47.464700;8.549170;1416;CH
Geneva Airport;geneva;Switzerland;GVA;LSGG;46.238100;6.108950;1411;CH
Vienna International Airport;vienna;Austria;VIE;LOWW;48.110300;16.569700;600;AT
Prague Václav Havel Airport;prague;Czech Republic;PRG;LKPR;50.100800;14.260000;1247;CZ
Budapest Ferenc Liszt International Airport;budapest;Hungary;BUD;LHBP;47.429800;19.261100;495;HU
Milan Malpensa Airport;milan;Italy;MXP;LIMC;45.630600;8.728110;768;IT
Rome Fiumicino Leonardo da Vinci Airport;rome;Italy;FCO;LIRF;41.800300;12.238900;13;IT
Madrid Barajas Airport;madrid;Spain;MAD;LEMD;40.471900;-3.562640;2000;ES
Barcelona El Prat Airport;barcelona;Spain;BCN;LEBL;41.297100;2.078460;12;ES
Palma de Mallorca Airport;palma de mallorca;Spain;PMI;LEPA;39.551700;2.738810;27;ES
Ibiza Airport;ibiza;Spain;IBZ;LEIB;38.872900;1.373120;24;ES
Málaga Costa del Sol Airport;malaga;Spain;AGP;LEMG;36.674900;-4.499110;53;ES
Alicante-Elche Airport;alicante;Spain;ALC;LEAL;38.282200;-0.558156;142;ES
Bucharest Henri Coandă International Airport;bucharest;Romania;OTP;LROP;44.571100;26.085000;314;RO
Istanbul Airport;istanbul;Turkey;IST;LTFM;41.275278;28.751944;325;TR
Sabiha Gökçen International Airport;istanbul;Turkey;SAW;LTFJ;40.898602;29.309200;312;TR
Antalya International Airport;antalya;Turkey;AYT;LTAI;36.898701;30.800501;177;TR
Ankara Esenboğa International Airport;ankara;Turkey;ESB;LTAC;40.128101;32.995098;3125;TR
Izmir Adnan Menderes Airport;izmir;Turkey;ADB;LTBJ;38.292400;27.157200;412;TR
Dalaman International Airport;dalaman;Turkey;DLM;LTBS;36.713100;28.792500;20;TR
Milas–Bodrum Airport;bodrum;Turkey;BJV;LTFE;37.250599;27.664301;21;TR
Adana Şakirpaşa Airport;adana;Turkey;ADA;LTAF;36.982201;35.280399;65;TR
Trabzon Airport;trabzon;Turkey;TZX;LTCG;40.995098;39.789700;104;TR
Gaziantep Oğuzeli International Airport;gaziantep;Turkey;GZT;LTAJ;36.947201;37.478699;2315;TR
Hatay Airport;hatay;Turkey;HTY;LTDA;36.362778;36.282223;269;TR
Esenboğa International Airport;ankara;Turkey;ESB;LTAC;40.128101;32.995098;3125;TR
Kayseri Erkilet Airport;kayseri;Turkey;ASR;LTAT;38.770401;35.495399;3463;TR
Nevşehir Kapadokya Airport;nevsehir;Turkey;NAV;LTAZ;38.771900;34.534500;3100;TR
Gazipaşa-Alanya Airport;alanya;Turkey;GZP;LTFG;36.299217;32.300598;86;TR
Ordu–Giresun Airport;ordu giresun;Turkey;OGU;LTCB;40.966400;38.080601;18;TR
