Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL,Mois
"Suave Dance Festival Easter","2 Apr","6 Apr","Paris, France","https://placetodance.com/festivals/calendar/6925f18306f86dbdbfab25b0","https://www.facebook.com/events/1857909168145945/","suave_dance_festival_easter_0.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0204ORY11%3Fdestination_airports%3D0&campaign_id=100","April"
"Baila Baila Salsa Festival 2026","2 Apr","5 Apr","Helsinki, Finland","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8cf","https://www.facebook.com/events/1342599004057848/","baila_baila_salsa_festival_2026_1.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0204HEL11%3Fdestination_airports%3D0&campaign_id=100","April"
"Diamond Kizomba Festival","2 Apr","6 Apr","Budapest, Hungary","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b615","https://www.facebook.com/events/1910777399750539/","diamond_kizomba_festival_3.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0204BUD11%3Fdestination_airports%3D0&campaign_id=100","April"
"I Love Kizomba Sensual Festival Rotterdam 2nd Edition","3 Apr","6 Apr","Rotterdam, Netherlands","https://placetodance.com/festivals/calendar/68e7b3dd6eb94a22fac267eb","https://www.facebook.com/events/1874003083464281/","i_love_kizomba_sensual_festival_rotterdam_2nd_edition_8.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0304RTM11%3Fdestination_airports%3D0&campaign_id=100","April"
"𝗠𝗢𝗥𝗔𝗕𝗘𝗭𝗔 𝗞𝗜𝗭𝗢𝗠𝗕𝗔 𝗪𝗘𝗘𝗞𝗘𝗡𝗗𝗘𝗥 𝟮𝟬𝟮𝟲","3 Apr","6 Apr","Rotterdam, Netherlands","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b607","https://www.facebook.com/events/645680601433122/","____________________________________________________________9.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0304RTM11%3Fdestination_airports%3D0&campaign_id=100","April"
"Limoges BachataSemba Festival 2026","3 Apr","7 Apr","Limoges, France","https://placetodance.com/festivals/calendar/6925f18206f86dbdbfab2592","https://www.facebook.com/events/1692773378010290/","limoges_bachatasemba_festival_2026_10.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0304LIG11%3Fdestination_airports%3D0&campaign_id=100","April"
"Masters of Bachata 9 – Road to 2026","3 Apr","6 Apr","Marseille, France","https://placetodance.com/festivals/calendar/688629e14a97ca6427ee4b19","https://www.facebook.com/events/1005097444564783/","masters_of_bachata_9___road_to_2026_12.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0304MRS11%3Fdestination_airports%3D0&campaign_id=100","April"
"Bachata Open France Jack and Jill 5 Avril 2026","3 Apr","6 Apr","Lyon, France","https://placetodance.com/festivals/calendar/68fd2268e9c5d223fe32c922","https://www.facebook.com/events/1058857546268642/","bachata_open_france_jack_and_jill_5_avril_2026_14.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0304LYS11%3Fdestination_airports%3D0&campaign_id=100","April"
"Oslo Kizomba Festival 2026","9 Apr","13 Apr","Oslo, Norway","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b60e","https://www.facebook.com/events/684655900716563/","oslo_kizomba_festival_2026_18.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0904OSL11%3Fdestination_airports%3D0&campaign_id=100","April"
"Bachata Festival Germany 2026","9 Apr","13 Apr","Stuttgart, Germany","https://placetodance.com/festivals/calendar/6925cb9706f86dbdbfab244e","https://www.facebook.com/events/2009523516250290/","bachata_festival_germany_2026_20.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0904STR11%3Fdestination_airports%3D0&campaign_id=100","April"
